GeneID,083T,128T,135T,147T,157T,168T
Adamts13,6642,4860,4860,3402,4428,3672
Adamts14,12,16,11,14,18,9
Adamts15,0,14,22,20,17,16
Adamts16,22,22,17,13,15,0
Adamts17,13,8,8,10,8,14
Adamts18,12,10,7,6,0,6
Adamts19,22,13,11,0,7,0
Adamts2,11,12,6,10,7,11
Adamts20,5076,4212,4428,3726,3348,6156
Adamts3,8,12,11,8,10,9
Adamts4,10,10,0,5,10,0
Adamts5,7,11,10,11,7,10
Adamts6,10,13,10,11,7,14
Adamts7,224,180,186,84,216,108
Adamts8,28,40,32,38,0,38
Adamts9,30,14,9,22,12,7
Adamtsl1,30,12,10,8,17,14
Adamtsl2,13,13,7,9,15,8
Adamtsl3,0,10,13,5,7,6
Adamtsl4,9,0,12,6,8,7
Adamtsl5,0,8,6,10,8,8
Adap1,6,8,7,6,6,6
Adap2,15,12,7,10,16,19
Adar,12,18,21,20,14,16
Adarb1,6,0,10,6,6,6
Adarb2,12,14,0,0,12,14
Adat1,14,12,0,0,0,12
Adat2,0,8,10,8,9,7
Adat3,7,30,10,6,7,0
Adck1,49,12,0,12,0,12
Adck2,10,0,12,11,6,7
Adck5,8,17,7,14,8,9
Adcy1,6,16,7,10,6,9
Adcy10,80,50,14,28,16,24
Adcy2,15,10,13,10,8,14
Adcy3,5,8,8,8,10,9
Adcy4,30,24,9,15,14,8
Adcy5,27,8,14,10,23,12
Adcy6,14,21,11,9,14,8
Adcy7,15,10,11,9,15,7
Adcy8,12,16,16,9,9,11
Adcy9,0,12,14,0,13,16
Adcyap1,0,0,6,0,0,0
Adcyap1r1,12,19,8,7,9,7
Add1,7,9,7,6,10,8
Add2,40,28,24,0,30,38
